City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Padang,ID,2021-06-01 23:04:41,-0.9492,100.3543,75.25,84,89,3.76
263,Champerico,GT,2021-06-01 23:09:01,14.3,-91.9167,85.35,68,37,8.19
264,Saint-Augustin,CA,2021-06-01 23:07:34,51.226,-58.6502,54.9,75,70,8.12
265,Esperance,AU,2021-06-01 23:09:02,-33.8667,121.9,57.04,72,78,9.75
266,Nalut,LY,2021-06-01 23:09:03,30.3333,10.85,90.86,16,98,4.97
267,Oksovskiy,RU,2021-06-01 23:09:03,62.6062,39.8984,36.43,75,24,4.65
268,Qaanaaq,GL,2021-06-01 23:09:04,77.484,-69.3632,29.5,87,90,5.14
269,Luanda,AO,2021-06-01 23:09:04,-8.8368,13.2343,74.91,89,80,5.1
270,Lorengau,PG,2021-06-01 23:09:04,-2.0226,147.2712,79.63,81,97,3.56
271,Tommot,RU,2021-06-01 23:09:05,58.9564,126.2925,51.51,85,100,5.93
272,Mindelo,CV,2021-06-01 23:09:05,16.8901,-24.9804,71.26,83,52,15.26
273,Bani,DO,2021-06-01 23:09:06,18.2833,-70.3333,82.85,70,100,11.43
274,Umm Kaddadah,SD,2021-06-01 23:09:06,13.6017,26.6876,92.86,18,81,6.85
275,Siloam Springs,US,2021-06-01 23:09:07,36.1881,-94.5405,64.85,92,90,6.91
276,Evensk,RU,2021-06-01 23:09:07,61.95,159.2333,53.96,49,5,2.82
277,Nome,US,2021-06-01 23:09:08,64.5011,-165.4064,52.11,30,1,17.27
278,Pabianice,PL,2021-06-01 23:09:08,51.6645,19.3547,55.35,81,0,1.99
279,Ixtapa,MX,2021-06-01 23:09:09,20.7,-105.2,86.23,74,75,13.8
280,Saurimo,AO,2021-06-01 23:09:10,-9.6608,20.3916,61.02,40,73,4.94
281,Charters Towers,AU,2021-06-01 23:09:10,-20.1,146.2667,67.73,73,6,10.27
282,Santa Marta,CO,2021-06-01 23:05:44,11.2408,-74.199,84.97,72,90,13.18
283,San Vicente,AR,2021-06-01 23:09:11,-26.6167,-54.1333,57.69,76,19,2.37
284,Te Anau,NZ,2021-06-01 23:09:11,-45.4167,167.7167,49.32,89,97,4.9
285,Pangnirtung,CA,2021-06-01 23:09:12,66.1451,-65.7125,35.31,99,100,1.57
286,Yumen,CN,2021-06-01 23:09:12,40.2833,97.2,54.7,9,27,15.82
287,Mwanza,TZ,2021-06-01 23:09:13,-2.5167,32.9,68.49,64,99,8.16
288,Anadyr,RU,2021-06-01 23:04:37,64.75,177.4833,39.7,60,0,5.99
289,Vila Franca Do Campo,PT,2021-06-01 23:09:14,37.7167,-25.4333,59.41,64,7,10.58
290,Guerrero Negro,MX,2021-06-01 23:09:14,27.9769,-114.0611,70.88,54,1,14.67
291,Souillac,MU,2021-06-01 23:09:14,-20.5167,57.5167,74.35,75,88,13.0
292,Turukhansk,RU,2021-06-01 23:09:15,65.8167,87.9833,36.41,79,5,5.53
